-10 Cuba!	0.2	0.2	-0.3593238641992592	0.24250652244911414
A Girls Fabric Face	0.2	0.2	-0.5298114943207376	0.16022305781995622
A Hat in Time	0.2	0.2	-0.44580759000013964	0.39856474397488395
A Game of Thrones: Genesis	0.2	0.2	-0.40122942303943754	0.4056061537173316
ABC Sports Indy Racing	0.2	0.2	-0.385343425635655	0.42724448851232805
Abomination: The Nemesis Project	0.2	0.2	-0.442009428547508	0.42643538150185756
Ace Lightning	0.2	0.2	-0.42362430351269476	0.3519407902956634
Ace of Spades	0.2	0.2	-0.44678304583719874	0.31104825430360394
Ace Online	0.2	0.2	-0.541225862239066	0.3612751497363342
Ace Ventura: The CD-Rom Game	0.2	0.2	-0.4178144022271332	0.1873288537220128
Aces of the Galaxy	0.2	0.2	-0.4368579784784462	0.22274783989045366
Aces of the Pacific	0.2	0.2	-0.41486019875116065	0.21666735001507575
Achtung Spitfire!	0.2	0.2	-0.350781748961084	0.11344026242723726
Act of War: Direct Action	0.2	0.2	-0.4236059360418991	0.15198656694277113
Act of War: High Treason	0.2	0.2	-0.35056600182370923	0.21628840550095135
Action Quake 2	0.2	0.2	-0.4833299208766586	0.4947567740366644
Activision Anthology	0.2	0.2	-0.3523125878960508	0.4699416195441265
Actua Ice Hockey	0.2	0.2	-0.4560818379948665	0.1536315419695744
Actua Pool	0.2	0.2	-0.3912961810912333	0.17618142015170452
Addiction Pinball	0.2	0.2	-0.41709847404642847	0.38764821756014106
Advent Rising	0.2	0.2	-0.40158871302103183	0.39650759740050506
Adventure Pinball: Forgotten Island	0.2	0.2	-0.49232064094189587	0.2909664520163113
Adventures of Pip	0.2	0.2	-0.3775660801640959	0.2987551382117609
AdvertCity	0.2	0.2	-0.42235522590970065	0.2848246062747752
Africa Trail	0.2	0.2	-0.4826012488965828	0.453115160544344
After...	0.2	0.2	-0.4764170469268499	0.3135314205812232
Afterlife	0.2	0.2	-0.4089690903396728	0.4006198353336119
Agatha Christie: And Then There Were None	0.2	0.2	-0.368401463314323	0.1457606364159197
Agatha Christie: Evil Under the Sun	0.2	0.2	-0.42525505377835254	0.4484482899130159
Agatha Christie: Murder on the Orient Express	0.2	0.2	-0.4017437999153026	0.4326157876370581
Age of Booty	0.2	0.2	-0.3594502689885355	0.1566316054224357
